Date,Open,High,Low,Close
4-January-2010,17473.45,17582.84,17378.38,17558.73,
5-January-2010,17555.77,17729.78,17555.77,17686.24,
6-January-2010,17719.47,17790.33,17636.71,17701.13,
7-January-2010,17701.97,17733.34,17566.54,17615.72,
8-January-2010,17603.87,17658.12,17508.96,17540.29,
11-January-2010,17724.59,17776.57,17500.79,17526.71,
12-January-2010,17534.10,17612.00,17392.55,17422.51,
13-January-2010,17368.03,17528.31,17276.46,17509.80,
14-January-2010,17525.71,17628.04,17525.71,17584.87,
15-January-2010,17604.31,17639.85,17529.11,17554.30,
18-January-2010,17538.72,17712.60,17505.50,17641.08,
19-January-2010,17650.82,17664.86,17463.78,17486.06,
20-January-2010,17486.69,17590.59,17425.05,17474.49,
21-January-2010,17474.49,17474.49,17025.26,17051.14,
22-January-2010,16978.36,17000.33,16608.09,16859.68,
25-January-2010,16847.70,16877.77,16705.56,16780.46,
27-January-2010,16708.60,16708.60,16230.85,16289.82,
28-January-2010,16317.16,16524.69,16182.14,16306.87,
29-January-2010,16253.82,16390.31,15982.08,16357.96,
1-February-2010,16339.32,16422.40,16160.80,16356.03,
2-February-2010,16368.44,16525.98,16129.11,16163.44,
3-February-2010,16210.25,16552.99,16210.25,16496.05,
4-February-2010,16500.29,16508.22,16188.80,16224.95,
5-February-2010,16222.56,16222.56,15725.43,15790.93,
6-February-2010,15807.75,15951.07,15807.75,15915.65,
8-February-2010,15931.34,16061.41,15651.99,15935.61,
9-February-2010,15940.73,16094.13,15862.90,16042.18,
10-February-2010,16042.18,16141.13,15892.01,15922.17,
11-February-2010,15928.28,16202.87,15928.28,16152.59,
15-February-2010,16186.90,16227.04,16011.82,16038.35,
16-February-2010,16042.18,16310.39,16021.29,16226.68,
17-February-2010,16228.91,16480.89,16228.91,16428.91,
18-February-2010,16421.20,16452.51,16287.17,16327.84,
19-February-2010,16256.53,16301.94,16074.58,16191.63,
22-February-2010,16191.32,16423.23,16191.32,16237.05,
23-February-2010,16213.14,16324.93,16178.91,16286.32,
24-February-2010,16218.68,16328.44,16187.44,16255.97,
25-February-2010,16264.10,16329.33,16167.13,16254.20,
26-February-2010,16255.33,16669.25,16249.67,16429.55,
2-March-2010,16438.45,16808.49,16438.45,16772.56,
3-March-2010,16778.29,17012.61,16778.29,17000.01,
4-March-2010,17013.68,17024.96,16888.05,16971.70,
5-March-2010,16988.29,17097.71,16936.12,16994.49,
8-March-2010,17034.92,17187.55,17034.92,17102.60,
9-March-2010,17089.22,17130.83,17031.21,17052.54,
10-March-2010,17072.94,17183.51,17027.92,17098.33,
11-March-2010,17087.63,17215.07,17054.28,17167.96,
12-March-2010,17176.02,17244.54,17126.93,17166.62,
15-March-2010,17166.97,17195.49,17061.14,17164.99,
16-March-2010,17169.84,17416.55,17150.06,17383.18,
17-March-2010,17389.47,17576.78,17389.47,17490.08,
18-March-2010,17492.81,17548.13,17417.61,17519.26,
19-March-2010,17531.47,17600.87,17502.14,17578.23,
22-March-2010,17481.96,17559.18,17337.38,17410.57,
23-March-2010,17422.51,17530.79,17356.64,17451.02,
25-March-2010,17458.51,17575.23,17383.21,17558.85,
26-March-2010,17558.85,17682.94,17558.85,17644.76,
29-March-2010,17639.18,17793.01,17639.18,17711.35,
